Source	pctCa	pctO
Deg85	0.000923855	0.00425465
Deg85	0.005015674	0.009651533
Deg85	0.009142136	0.019996911
Deg85	0.01435532	0.024084224
Deg85	0.014350196	0.027456403
Deg85	0.01546838	0.030144337
Gus80	0.001824139	0.001574595
Gus80	0.001661144	0.001306105
Han88	0.002978616	0.001101844
Han88	0.004025369	0.001100945
Han88	0.006091611	0.00102037
Han88	0.006090058	0.001120491
Han88	0.025445651	0.00139729
Han88	0.019944957	0.000926214
Han88	0.014218315	0.000813203
Ich93	7.1828E-05	0.00055679
Ich93	7.89282E-05	0.000526248
Ich93	8.99106E-05	0.000905335
Ich93	0.000138824	0.000525443
Ich93	0.000170638	0.000682502
Ich93	0.000213759	0.000838049
Ich93	0.000234614	0.00121832
Ich93	0.000568586	0.000989211
Ich93	0.000602199	0.000693026
Ich93	0.001121406	0.000552659
Ich93	0.001326652	0.000898755
Ich93	0.002008039	0.000772881
Ich93	0.003277398	0.000640082
Ich93	0.004431862	0.00051088
Ich93	0.007082986	0.000946368
Ich93	0.009397456	0.000814117
Ich93	0.014216865	0.000844228
Ich93	0.018176686	0.000580188
Ich93	0.019225736	0.000661322
Ich93	0.019214951	0.00081254
Ich93	0.021499093	0.001016889
Ich93	0.016210762	0.001017667
Ich93	0.014210339	0.00099915
Ich93	0.02108853	0.001203558
Ich93	0.014203093	0.001204848
It97a	3.37449E-05	0.001422605
It97a	4.31197E-05	0.001201227
It97a	7.03019E-05	0.001473943
It97a	0.000187142	0.001313857
It97a	0.000152586	0.000452245
It97a	0.000445377	0.000836384
It97a	0.000518732	0.000418228
It97a	0.000913312	0.000287174
It97a	0.001766992	0.00018637
It97a	0.00293069	0.000424136
It97a	0.003815249	0.000385962
It97a	0.005352445	0.000423444
It97a	0.007098901	0.000415273
It97b	5.21163E-05	0.000751883
It97b	0.000161574	0.000341472
It97b	0.000263563	0.000347463
It97b	0.001797904	0.000320722
It97b	0.001667341	0.000333026
It97b	0.00220721	0.000652876
Kim94	0.002287796	0.001257017
Kim94	0.007749076	0.004474567
Kim94	0.011712367	0.006499298
Kim94	0.013352287	0.008443711
Kus76	0.015588779	0.001751557
Kus76	0.022714388	0.001749771
Miy69	0.009928166	0.00142733
Miy69	0.006943118	0.001428714
Miy69	0.01198249	0.001509014
Miy69	0.013924755	0.001719598
Miy69	0.013168982	0.001348347
Oza75	0.002041397	0.001828425
Oza75	0.003143622	0.002809059
Oza75	0.001016578	0.002425766
Wak89	0.001018654	0.001147211
Wak89	0.001205524	0.001636502
Wak89	0.001860602	0.00110325
Wak89	0.002416873	0.00224548
Wak89	0.003033355	0.001379303
Wak89	0.005546732	0.000878673
Wak89	0.00598718	0.000581937
