Source	pctMg	pctO
Han97	0.001291176	0.007989035
Han97	0.005169836	0.005485662
Han97	0.002793869	0.002993577
Han97	0.004240397	0.002993577
Han97	0.002624376	0.001813441
Han97	0.001304714	0.001502695
Han97	0.004805811	0.001194256
Han97	0.004514261	0.001098541
Han97	0.004284859	0.001110073
Han97	0.005619748	0.001
Han97	0.004284859	0.000599484
Itoh97	1.99059E-05	0.002429336
Itoh97	1.99059E-05	0.001487084
Itoh97	4.00398E-05	0.001550516
Itoh97	5.03677E-05	0.001685611
Itoh97	7.10628E-05	0.001633623
Itoh97	5.95158E-05	0.001487084
Itoh97	5.76822E-05	0.00135369
Itoh97	5.14294E-05	0.001232262
Itoh97	6.07704E-05	0.001021105
Itoh97	7.03254E-05	0.001087129
Itoh97	0.000130132	0.001685611
Itoh97	0.00017981	0.001599859
Itoh97	0.000189436	0.001534409
Itoh97	0.000223843	0.001284824
Itoh97	0.000138536	0.001258268
Itoh97	0.00014903	0.001042655
Itoh97	0.000141456	0.001021105
Itoh97	0.000120969	0.000693857
Itoh97	0.000139989	0.000605777
Itoh97	0.000197507	0.000686649
Itoh97	0.000219222	0.000786487
Itoh97	0.000422935	0.000803086
Itoh97	0.000641911	0.000949127
Itoh97	0.001509856	0.000803086
Itoh97	0.001802792	0.00076223
Itoh97	0.003068854	0.000731047
Itoh97	0.001802792	0.000337555
Itoh97	0.001509856	0.000438251
Seo00	0.003514523	0.000407359
Seo00	0.005678673	0.000580995
Seo00	0.010955636	0.000770232
Seo00	0.013781543	0.000693857
Seo00	0.015619171	0.0007085
Seo00	0.015948433	0.000679516
Seo00	0.020062186	0.000693857
Seo00	0.023216589	0.000672457
Seo00	0.026312284	0.000605777
Seo00	0.035606467	0.000476436
